,VER,PER,SAI,LEC,RUS,NOR,HAM,PIA,ALO,STR,ZHO,MAG,RIC,TSU,ALB,HUL,OCO,GAS,BOT,SAR
34.0,0.0,17.67699999999968,21.04399999999987,35.52899999999954,51.77899999999954,58.259000000000015,62.70499999999993,42.15299999999934,54.034999999999854,79.79500000000007,80.84799999999996,91.26599999999962,75.30299999999988,68.76099999999951,73.61299999999937,86.84000000000015,100.9960000000001,105.21299999999974,155.19899999999961,180.0709999999999
35.0,0.0,18.43499999999949,24.299999999999272,55.67699999999968,51.53299999999945,56.71699999999964,62.175999999999476,65.83799999999974,55.289999999999964,80.01899999999932,81.3759999999993,90.94599999999991,79.88000000000011,90.15999999999985,75.36200000000008,87.78099999999995,101.33199999999943,105.50799999999981,155.75900000000001,180.91199999999935
36.0,0.0,21.594999999999345,43.715000000000146,53.5619999999999,50.761999999999716,56.201999999999316,61.25,64.78600000000006,57.427999999999884,79.89999999999964,82.10199999999986,90.59199999999964,100.67000000000007,91.66100000000006,79.48999999999978,88.3710000000001,102.35599999999977,105.7529999999997,156.34599999999955,181.16899999999987
37.0,0.0,38.16899999999987,39.78300000000036,49.225000000000364,47.009000000000015,52.034999999999854,57.613000000000284,60.32600000000002,54.99300000000039,76.65300000000025,79.67300000000068,87.09900000000016,96.59900000000016,88.26000000000022,97.88799999999992,85.86000000000058,99.70200000000023,103.14800000000014,155.1199999999999,178.72000000000025
38.0,0.0,16.527999999999338,18.438000000000102,27.563000000000102,26.042999999999665,30.738999999999578,36.134000000000015,39.17900000000009,35.844999999999345,56.572000000000116,60.085000000000036,66.69599999999991,75.61399999999958,68.86099999999988,77.57200000000012,69.49799999999959,80.07099999999991,83.50500000000011,136.44899999999961,159.0069999999996
39.0,0.0,18.527000000000044,20.53900000000067,30.04200000000037,28.639000000000124,33.01100000000042,38.2480000000005,41.55400000000009,41.18299999999999,60.31700000000001,64.11400000000049,69.96400000000085,78.48100000000068,72.37800000000061,80.82000000000062,74.36599999999999,84.01500000000033,87.4340000000002,141.03000000000065,163.41499999999996
40.0,0.0,16.30199999999968,18.688999999999396,28.311999999999898,27.11499999999978,31.69799999999941,36.69999999999982,39.969999999999345,42.654999999999745,60.21299999999974,64.20799999999963,69.44599999999991,77.46999999999935,72.05199999999968,79.95399999999972,74.86499999999978,84.03399999999965,87.58699999999953,141.83399999999983,166.64299999999912
41.0,0.0,15.411999999999352,18.4399999999996,28.049999999999272,26.917999999999665,31.47699999999986,36.349999999999454,39.78899999999976,47.625999999999294,61.24499999999989,65.61299999999937,70.49599999999919,77.82399999999961,72.9409999999998,80.54899999999998,79.14399999999932,85.36499999999978,88.86799999999948,142.98099999999977,191.6349999999993
42.0,0.0,15.270000000000437,18.634000000000015,28.36499999999978,27.386999999999716,31.975000000000364,36.67900000000009,40.46299999999974,69.85800000000017,62.92100000000028,67.59799999999996,72.13900000000012,78.49499999999989,74.25500000000011,81.6810000000005,100.58500000000004,87.28999999999996,90.83200000000033,144.6880000000001,191.70300000000043
43.0,0.0,15.916000000000167,19.278000000000247,29.40599999999995,28.429000000000087,33.1190000000006,37.46300000000065,41.57000000000062,70.8140000000003,65.07400000000052,70.21799999999985,74.22000000000025,79.90400000000045,76.0600000000004,83.29600000000028,102.19400000000041,89.81800000000021,95.97200000000066,147.10600000000068,192.55299999999988
44.0,0.0,16.184000000000196,19.253999999999905,29.926000000000386,29.0600000000004,33.9340000000002,38.10100000000057,42.277000000000044,71.26400000000012,67.10699999999997,73.10400000000027,75.9380000000001,80.86300000000028,77.67300000000068,84.54800000000068,103.25300000000061,91.9360000000006,117.92200000000048,149.20499999999993,193.15200000000004
45.0,0.0,16.527000000000044,19.795000000000073,30.896999999999935,30.086999999999534,35.02299999999923,39.03600000000006,43.33399999999983,71.88699999999972,69.10099999999966,75.53499999999985,78.03799999999956,82.18399999999929,79.38799999999992,86.05699999999979,104.12299999999959,95.73599999999988,118.47800000000007,151.6189999999997,194.23599999999988
46.0,0.0,17.177999999999884,20.454999999999927,31.762000000000626,32.551000000000386,36.20100000000002,40.12800000000061,44.4369999999999,72.82000000000062,71.28700000000026,78.08300000000054,80.29100000000017,83.4980000000005,81.38200000000052,87.8720000000003,104.76400000000012,98.51800000000003,119.57800000000043,153.72300000000087,195.98200000000088
47.0,0.0,17.66899999999987,21.11700000000019,32.57999999999993,34.11700000000019,37.447000000000116,41.11499999999978,45.574000000000524,73.8060000000005,73.34599999999955,80.40500000000065,82.5059999999994,85.09000000000015,83.53900000000067,89.65899999999965,105.7510000000002,100.93499999999949,120.68000000000029,156.08799999999974,198.47199999999975
48.0,0.0,18.203999999999724,21.747999999999593,33.53799999999865,35.82599999999911,38.814000000000306,42.93000000000029,46.925999999999476,73.65499999999884,76.32099999999991,82.70899999999892,84.83499999999913,86.97599999999875,85.74299999999857,91.4439999999995,106.54699999999866,103.70199999999932,121.74099999999999,158.5029999999988,199.8099999999995
49.0,0.0,18.766999999999825,22.784999999999854,34.4369999999999,37.37699999999859,40.08499999999913,44.440999999998894,48.175999999999476,73.8229999999985,78.78899999999885,85.02599999999984,87.27399999999943,89.01499999999942,88.03499999999985,94.14300000000003,107.63799999999901,107.02499999999964,122.84899999999834,161.0099999999984,200.9969999999994
