,VER,ALO,GAS,PER,SAI,HAM,NOR,ALB,PIA,OCO,STR,HUL,LAW,BOT,TSU,MAG,RUS,ZHO,LEC,SAR
61.0,0.0,24.44499999999971,51.01199999999881,39.46899999999914,52.72400000000016,59.89899999999943,64.73300000000017,46.190999999998894,72.79700000000048,52.20399999999972,92.5059999999994,95.51900000000023,104.10299999999916,96.80500000000029,84.84499999999935,106.76699999999983,66.8140000000003,88.90799999999945,,
62.0,0.0,25.80000000000109,30.743000000000393,19.644000000000233,33.09100000000035,39.01600000000144,44.27100000000064,48.496000000001004,51.98199999999997,58.25,75.03499999999985,77.5010000000002,88.59100000000035,78.95300000000134,67.42500000000109,90.01700000000164,46.41700000000128,71.04300000000148,,
63.0,0.0,33.310999999999694,37.09299999999894,37.58799999999974,40.802999999999884,45.15599999999904,63.02399999999943,72.02800000000025,82.68199999999888,87.23699999999917,114.70700000000033,116.92299999999886,137.3109999999997,123.3169999999991,107.53299999999945,142.73999999999978,66.25900000000001,47.42200000000048,,
64.0,0.0,30.717000000000553,50.120999999999185,2455.147000000001,54.28100000000086,70.23999999999978,2458.5599999999995,2471.8240000000005,2476.040000000001,2478.602999999999,2486.0460000000003,2488.911,2497.999,2492.227999999999,2483.1710000000003,2501.817000000001,2469.1460000000006,,,
65.0,0.0,0.8140000000003056,3.757000000001426,1.6630000000004657,5.798000000000684,6.4950000000008,8.037000000000262,11.795000000000073,13.243000000000393,14.905000000000655,17.267000000001644,18.28400000000147,22.79200000000128,20.291000000001077,16.0,25.282000000001062,10.645000000000437,,,
66.0,0.0,0.32400000000052387,1.8299999999999272,1.0759999999991123,2.764999999999418,3.003999999998996,3.8519999999989523,4.417999999999665,5.083999999998923,5.597999999999956,6.65599999999904,7.338999999999942,8.188000000000102,8.118000000000393,6.358000000000175,8.463999999999942,4.110999999998967,,,
67.0,0.0,0.7880000000004657,3.875,1.9259999999994761,5.5900000000001455,6.175999999999476,6.779000000000451,7.391999999999825,8.088999999999942,9.381999999999607,10.645000000000437,11.893000000000029,12.180000000000291,13.225000000000364,12.108000000000175,13.550999999999476,31.32799999999952,,,
68.0,0.0,1.0529999999998836,4.584999999999127,2.19800000000032,7.204999999999927,7.6489999999994325,8.441999999999098,9.640999999999622,10.225999999998749,11.57300000000032,12.555999999998676,14.109999999998763,15.60399999999936,18.08100000000013,15.279000000000451,16.358000000000175,55.82999999999993,,,
69.0,0.0,1.5939999999991414,4.717999999998938,2.6489999999994325,8.185999999999694,8.691999999999098,9.189000000000306,10.769000000000233,11.377999999998792,12.99200000000019,14.114999999999782,15.427999999999884,17.912999999998647,20.922999999998865,17.29199999999946,18.690999999998894,56.03399999999965,,,
70.0,0.0,2.941999999999098,5.8770000000004075,3.6119999999991705,9.933999999999287,10.272999999999229,10.814000000000306,12.305000000000291,13.17200000000048,14.602999999999156,16.27900000000045,17.15599999999904,20.34399999999914,23.388999999999214,19.850000000000364,20.852999999999156,56.375,,,
71.0,0.0,3.540000000000873,6.3700000000008,4.254000000000815,10.811999999999898,11.25,11.920000000000073,13.528000000000247,14.443999999999505,16.066000000000713,17.798000000000684,18.55500000000029,23.442000000000917,25.238000000001193,21.92699999999968,23.740999999999985,55.89899999999943,,,
72.0,0.0,3.7479999999995925,7.060999999999694,5.037999999998647,12.548999999999069,13.213999999999942,13.245999999999185,15.10899999999856,16.563000000000102,18.355999999999767,20.076999999999316,20.79399999999987,26.118999999998778,27.352999999999156,24.894999999998618,26.376000000000204,55.75299999999879,,,
