,VER,PIA,NOR,RUS,LEC,ALO,OCO,BOT,ZHO,PER,STR,GAS,ALB,MAG,TSU,HUL,LAW,SAR,HAM,55
48.0,0.0,35.27599999999984,37.10999999999876,25.69999999999891,60.323999999998705,70.74499999999898,76.38799999999901,81.96299999999974,67.95699999999852,90.03399999999965,83.95199999999932,87.4369999999999,94.70499999999993,96.45099999999911,103.51699999999983,114.71599999999853,119.04799999999886,,,
49.0,0.0,34.397000000000844,36.27900000000045,25.552999999999884,60.4950000000008,71.79200000000128,77.17900000000009,82.67200000000048,68.62900000000081,90.45000000000073,85.07099999999991,87.77000000000044,95.56900000000132,97.8760000000002,105.28800000000047,115.94100000000071,124.67100000000028,,,
50.0,0.0,33.72199999999975,35.64799999999923,29.482999999998356,60.42399999999907,71.92999999999847,77.6309999999994,83.76999999999862,69.14799999999923,90.65499999999884,87.66499999999905,88.27399999999943,97.16699999999946,99.14699999999903,106.6359999999986,116.86799999999857,126.71199999999953,,,
51.0,0.0,28.328999999999724,30.0679999999993,47.48099999999977,55.81999999999971,67.54299999999967,73.79900000000089,80.1820000000007,65.24699999999939,86.41599999999926,83.80299999999988,84.17799999999988,93.66799999999967,95.80099999999948,103.22199999999975,112.93399999999929,124.22299999999996,,,
52.0,0.0,3.888999999999214,5.399999999999636,24.28399999999965,32.336999999999534,43.852999999999156,50.65699999999924,57.35599999999977,45.89899999999943,64.23099999999977,63.90699999999924,63.288000000000466,71.27000000000044,73.6190000000006,80.45800000000054,93.59100000000035,101.91100000000006,,,
53.0,0.0,3.8360000000011496,5.395000000000437,25.46900000000096,33.71399999999994,44.61300000000119,52.33400000000074,58.970000000001164,69.77400000000125,66.53100000000086,65.84000000000015,67.30299999999988,73.44400000000132,75.86700000000019,82.371000000001,94.88700000000063,104.48500000000058,,,
54.0,0.0,4.015999999999622,5.575000000000728,30.371000000001004,35.39800000000105,45.85499999999956,54.38600000000042,60.585000000000946,71.05999999999949,68.5069999999996,67.34000000000015,68.96800000000076,75.64500000000044,78.88299999999981,86.36399999999958,96.94300000000112,106.5609999999997,,,
55.0,0.0,4.1599999999998545,5.561999999999898,32.19800000000032,35.987999999999374,46.94200000000092,56.40300000000025,62.29100000000108,72.52000000000044,71.29199999999946,68.46900000000096,69.53800000000047,77.71399999999994,81.47500000000036,88.31500000000051,98.78000000000065,108.80400000000009,,,
56.0,0.0,5.376000000000204,6.4909999999999854,34.13500000000022,39.757000000001426,48.77000000000044,59.49200000000019,65.28000000000065,74.90200000000004,73.81800000000112,70.76800000000003,71.54900000000089,80.16800000000148,87.06600000000071,94.77800000000025,100.90500000000065,112.92799999999988,,,
57.0,0.0,4.84400000000096,5.986000000000786,34.13600000000042,38.94600000000173,49.012000000000626,62.38800000000083,66.58000000000175,76.14400000000023,75.19800000000032,71.66900000000169,72.31700000000092,81.03100000000086,,,,,,,
