,VER,ALO,HAM,LEC,SAI,PER,ALB,OCO,STR,BOT,PIA,GAS,NOR,TSU,HUL,ZHO,MAG,DEV,RUS,SAR
31.0,0.0,4.4650000000001455,7.069000000000415,10.22900000000027,11.916000000000167,16.202000000000226,31.63500000000022,23.161000000000058,50.32999999999993,25.46100000000024,29.631000000000313,35.82999999999993,26.684000000000196,33.47200000000066,51.759000000000015,34.27800000000025,33.02100000000064,35.319000000000415,36.61999999999989,
32.0,0.0,5.213999999999942,7.75,10.69799999999941,12.356999999999971,17.0049999999992,32.724999999999454,24.311999999999898,50.70299999999952,26.94799999999941,30.881999999999607,37.037999999999556,28.243999999999687,35.28600000000006,54.37299999999959,55.99399999999969,34.99799999999959,36.68299999999999,38.00999999999931,
33.0,0.0,5.375,8.198999999999614,11.056999999999789,13.05999999999949,18.161000000000058,33.91399999999976,25.510999999999513,51.01800000000003,28.126999999999498,32.4380000000001,55.35199999999986,29.886999999999716,37.30799999999999,54.836999999999534,60.527000000000044,36.875,38.10899999999947,39.11999999999989,
34.0,0.0,5.389999999999418,8.644999999999527,11.463999999999942,13.641999999999825,19.073999999999614,35.1309999999994,26.553999999999178,51.03699999999935,29.31999999999971,33.753999999999905,59.20899999999983,31.31999999999971,58.323999999999614,55.474999999999454,61.48199999999997,39.3149999999996,39.45899999999983,39.93399999999929,
35.0,0.0,5.311999999999898,9.070000000000618,11.980999999999767,13.869000000000597,19.59100000000035,36.332000000000335,27.56500000000051,51.98400000000038,30.261999999999716,35.021999999999935,60.12800000000061,48.087000000000444,62.03300000000036,56.73400000000038,62.65900000000056,101.78300000000036,101.90499999999975,41.02300000000014,
36.0,0.0,5.195999999999913,9.180000000000291,12.25,13.957999999999629,20.296000000000276,36.572000000000116,44.787999999999556,51.69499999999971,47.478000000000065,35.865999999999985,59.667999999999665,50.474999999999454,61.60199999999986,56.274999999999636,62.948999999999614,106.20299999999952,102.96000000000004,40.884000000000015,
37.0,0.0,5.270999999999731,9.121999999999389,12.577000000000226,14.358999999999469,36.85199999999986,37.60599999999977,48.54500000000007,52.29599999999937,49.79599999999937,52.83100000000013,59.99699999999939,50.41100000000006,61.90599999999995,56.412999999999556,63.6909999999998,107.80199999999968,104.53499999999985,41.40899999999965,
38.0,0.0,5.337000000000444,9.548999999999978,13.132000000000517,31.472999999999956,39.61500000000069,38.37700000000041,48.86800000000039,52.60900000000038,50.03099999999995,56.689000000000306,60.23700000000008,50.86200000000008,62.327000000000226,57.29100000000017,64.3140000000003,108.20600000000013,105.8760000000002,42.418000000000575,
39.0,0.0,5.0900000000001455,9.793000000000575,29.890000000000327,34.259000000000015,39.04600000000028,39.54500000000007,48.76800000000003,52.70499999999993,49.90400000000045,56.72400000000016,60.14400000000023,51.43199999999979,62.253999999999905,57.60599999999977,64.26000000000022,108.53499999999985,107.04100000000017,42.58100000000013,
40.0,0.0,4.944999999999709,25.917999999999665,32.67199999999957,33.89799999999923,38.414999999999964,40.235999999999876,48.438999999999396,52.54999999999927,49.49699999999939,56.51599999999962,60.02099999999973,51.31299999999919,62.11199999999917,58.30999999999949,64.65999999999985,108.18799999999919,107.93299999999999,42.82600000000002,
41.0,0.0,21.55699999999979,29.29699999999957,32.66100000000006,33.310999999999694,37.80799999999999,41.22199999999975,48.496000000000095,52.63999999999942,49.610999999999876,56.84900000000016,60.13000000000011,51.425999999999476,62.31700000000001,59.30199999999968,65.07399999999961,110.96099999999933,110.13599999999951,43.6269999999995,
42.0,0.0,7.555999999999585,12.928999999999178,15.567999999999302,16.75999999999931,20.683999999999287,25.672999999999774,32.28199999999924,36.60199999999986,33.6269999999995,40.930999999999585,44.17999999999938,35.20299999999952,46.26099999999951,43.74699999999939,51.47599999999966,95.73199999999997,95.46900000000005,28.029999999999745,
