,VER,LEC,RUS,PER,NOR,PIA,ALO,TSU,HAM,STR,RIC,OCO,GAS,ALB,HUL,SAR,ZHO,SAI,BOT,MAG
45.0,0.0,6.958999999999833,10.11700000000019,15.229999999999563,14.256000000000313,20.03399999999965,28.685999999999694,18.39599999999973,29.516999999999825,40.73199999999997,43.78600000000006,33.871000000000095,49.4340000000002,62.430999999999585,58.35199999999986,72.01699999999983,63.31700000000001,28.037999999999556,66.33100000000013,69.63299999999981
46.0,0.0,7.502999999999702,10.407000000000153,15.24200000000019,14.541000000000167,20.938000000000102,29.337999999999738,19.90399999999954,31.34400000000005,41.068999999999505,44.59199999999964,36.081999999999425,50.960000000000036,63.222999999999956,59.90599999999995,73.03299999999945,64.73899999999958,30.847999999999956,68.42699999999968,71.66499999999996
47.0,0.0,7.762000000000626,10.706000000000131,15.681000000000495,15.146999999999935,22.24200000000019,30.001000000000204,21.277000000000044,32.910000000000764,41.642000000000735,45.20100000000002,38.29700000000048,52.72400000000016,64.0010000000002,61.97900000000027,74.52900000000045,66.1860000000006,33.988000000000284,70.91300000000047,75.6260000000002
48.0,0.0,8.212999999999738,11.26799999999912,15.682999999999993,16.942000000000007,23.334999999999127,30.625,24.240999999999985,33.7559999999994,42.31299999999919,45.93499999999949,40.68799999999919,54.26099999999951,64.95299999999952,64.1319999999996,76.49199999999928,67.60099999999966,36.58499999999913,73.4369999999999,78.3149999999996
49.0,0.0,8.707999999999629,11.795000000000073,15.707999999999629,17.83799999999883,24.878999999999905,31.22399999999925,26.291000000000167,34.66399999999976,43.44200000000001,46.82499999999982,43.04499999999916,55.8779999999997,65.81299999999919,66.9360000000006,77.48700000000008,69.46599999999944,38.71699999999964,76.22399999999925,80.96699999999964
50.0,0.0,8.925999999999476,12.155000000000655,15.425999999999476,18.43199999999888,25.600000000000364,31.802999999999884,27.894000000000233,35.20899999999892,44.211999999999534,47.850000000000364,45.990999999999985,57.387000000000626,66.78399999999965,69.09599999999955,78.42699999999968,71.1299999999992,40.54999999999927,79.77000000000044,83.4359999999997
51.0,0.0,9.771999999999025,12.997999999999593,15.442999999999302,19.10900000000038,26.30699999999888,32.44499999999971,29.573999999998705,35.89099999999962,45.16399999999885,49.33299999999872,48.451999999999316,58.983000000000175,67.60999999999876,71.32599999999911,79.41499999999905,72.98300000000017,42.41899999999987,82.9380000000001,86.01900000000023
52.0,0.0,10.524000000001251,14.024000000001251,15.478000000000975,20.09700000000157,26.853000000000975,33.19800000000032,31.1770000000015,36.41200000000026,46.1770000000015,50.225000000000364,51.585000000000946,60.71900000000096,68.16100000000006,73.58000000000175,80.20400000000154,74.7400000000016,44.21300000000156,86.01100000000042,89.66500000000087
53.0,0.0,11.386000000000422,15.165999999999258,16.10200000000077,20.97099999999955,27.95800000000054,34.22899999999936,32.90699999999924,37.20299999999952,47.699000000000524,51.28399999999965,54.18499999999949,62.5679999999993,69.08599999999933,75.98699999999917,81.46399999999994,76.83799999999974,46.30500000000029,90.04099999999926,92.42699999999968
54.0,0.0,12.65099999999984,17.690999999998894,16.612999999999374,22.047999999998865,28.980999999999767,35.88999999999942,34.77899999999863,38.323999999998705,49.48699999999917,52.53099999999904,56.943999999999505,64.48999999999978,70.3849999999984,78.14099999999962,82.8739999999998,79.61399999999958,48.52599999999984,93.38299999999981,95.12099999999919
55.0,0.0,13.273000000001048,18.73700000000099,16.8700000000008,22.57600000000093,29.780000000000655,36.91200000000026,36.10500000000138,38.978000000000975,51.01500000000124,53.47199999999975,59.301000000001295,65.86700000000019,71.19700000000012,79.78700000000026,83.96900000000096,82.10000000000036,50.25,95.98300000000017,97.44300000000112
56.0,0.0,14.20299999999952,19.476000000000568,17.03900000000067,23.421000000000276,30.759000000000015,38.292999999999665,39.405000000000655,40.388999999999214,52.9429999999993,54.67399999999907,61.78199999999924,67.63600000000042,72.21299999999974,81.5669999999991,85.67200000000048,84.57300000000032,53.97700000000077,98.38600000000042,100.14500000000044
57.0,0.0,15.254000000000815,20.052999999999884,17.05000000000109,24.240999999999985,31.56500000000051,39.35100000000057,41.25300000000061,42.07500000000073,54.449000000000524,55.754000000000815,64.27900000000045,69.29800000000068,72.98199999999997,83.02399999999943,86.95700000000033,87.58400000000074,76.84400000000096,100.95600000000013,103.42100000000028
58.0,0.0,17.993000000000393,20.32799999999952,16.45299999999952,24.28399999999965,31.48700000000099,39.512000000000626,43.08799999999974,44.42400000000089,55.586999999999534,56.22899999999936,66.37299999999959,70.30000000000109,73.10699999999997,83.69599999999991,87.79100000000108,89.36599999999999,,,
