,SAI,NOR,HAM,LEC,VER,GAS,PIA,PER,LAW,MAG,ALB,ZHO,HUL,SAR,ALO,RUS,BOT,OCO,TSU,18
41.0,0.0,1.6840000000001965,2.7380000000002838,4.019000000000233,43.793000000000575,27.99200000000019,29.35900000000038,54.50500000000011,31.314000000000306,40.17900000000009,33.16100000000006,34.76800000000003,32.63600000000042,51.78900000000067,27.195999999999913,0.7680000000000291,71.28600000000006,24.85699999999997,,
42.0,0.0,1.350999999999658,2.4849999999996726,3.967999999999847,41.56700000000001,27.88799999999992,29.20300000000043,53.274999999999636,31.555999999999585,41.19599999999991,33.85900000000038,35.253999999999905,33.220000000000255,52.452000000000226,27.403000000000247,0.6739999999999782,69.73899999999958,24.913000000000466,,
43.0,0.0,1.6630000000004657,2.5280000000002474,4.716000000000349,58.676000000001295,39.13100000000122,42.310999999999694,74.71700000000055,44.19300000000112,67.95000000000073,55.54000000000087,50.36300000000119,47.19599999999991,81.61200000000099,38.33400000000074,0.908000000001266,97.44000000000051,-51.99799999999959,,
44.0,0.0,1.9530000000013388,9.674000000000888,4.593000000000757,57.62800000000061,38.53700000000026,40.03900000000067,73.53900000000067,44.15099999999984,86.51800000000003,71.95300000000134,49.309000000001106,45.27900000000045,96.28900000000067,44.52400000000125,7.225000000000364,93.27500000000146,,,
45.0,0.0,1.3770000000004075,21.95600000000013,4.114999999999782,41.24300000000039,28.45100000000093,31.399999999999636,52.443999999999505,33.70800000000054,64.98099999999977,51.548000000000684,38.61700000000019,35.94100000000071,73.496000000001,69.28100000000086,17.56999999999971,71.03100000000086,,,
46.0,0.0,1.5100000000002183,20.995999999999185,4.476999999998952,40.899999999999636,28.81500000000051,31.97899999999936,52.072000000000116,34.92699999999968,68.0560000000005,50.97699999999895,40.02000000000044,38.03299999999945,74.36700000000019,84.70099999999911,15.930000000000291,72.09699999999975,,,
47.0,0.0,2.0010000000002037,19.197000000000116,5.213999999999942,41.324000000000524,29.717000000000553,33.202000000001135,52.64099999999962,36.28900000000067,70.1319999999996,51.358000000000175,42.83899999999994,40.33799999999974,75.29000000000087,83.49099999999999,14.683000000000902,73.15999999999985,,,
48.0,0.0,1.8500000000003638,17.119000000000597,5.510000000000218,41.457000000000335,30.06500000000051,33.64899999999943,52.79199999999946,37.475000000000364,70.03899999999885,51.149999999999636,44.42900000000009,42.92699999999968,75.80099999999948,85.08100000000013,13.131999999999607,73.53299999999945,,,
49.0,0.0,1.8019999999996799,15.118000000000393,5.742000000000189,40.32099999999991,30.478000000000975,34.435999999999694,52.58100000000013,39.03700000000026,70.18499999999949,50.94800000000032,46.25,45.35599999999977,76.27000000000044,85.64700000000084,11.479999999999563,73.83699999999953,,,
50.0,0.0,1.3130000000001019,12.942999999999302,5.543999999999869,40.68999999999869,30.52900000000045,34.6309999999994,51.74300000000039,41.49300000000039,69.82799999999952,50.43299999999908,47.430999999998676,46.641999999999825,76.28999999999905,85.09799999999996,9.84900000000016,73.29199999999946,,,
51.0,0.0,1.397000000000844,11.382000000001426,6.3070000000006985,39.79399999999987,31.014000000001033,35.24700000000121,51.819000000001324,44.254000000000815,70.00300000000061,50.60599999999977,49.87300000000141,49.33100000000013,76.8700000000008,85.52100000000064,8.566000000000713,73.32700000000114,,,
52.0,0.0,1.4290000000000873,9.718999999999141,6.936999999999898,38.41100000000006,31.550999999999476,35.822000000000116,53.45899999999892,45.98599999999897,70.1919999999991,52.435999999999694,55.362999999999374,52.05899999999929,77.46399999999994,85.24599999999919,7.762000000000626,57.175999999999476,,,
53.0,0.0,1.4940000000005966,9.090000000000146,8.82300000000032,37.21600000000035,31.942000000000917,36.26800000000003,54.452000000001135,47.655000000000655,70.5580000000009,53.72199999999975,58.78900000000067,57.54000000000087,78.1200000000008,85.47800000000097,8.002000000000407,,,,
54.0,0.0,1.2100000000009459,8.307000000000698,11.947000000000116,36.70499999999993,32.07899999999972,38.10699999999997,54.1309999999994,48.832000000000335,70.34599999999955,53.240999999999985,61.79000000000087,60.751000000000204,78.34599999999955,84.95000000000073,6.691000000000713,,,,
55.0,0.0,1.1610000000000582,6.9870000000009895,14.023000000001048,35.0630000000001,32.91100000000006,39.67400000000089,53.33600000000115,50.09400000000096,70.09500000000116,52.356000000001586,64.04700000000048,63.3700000000008,78.66300000000047,84.42100000000028,5.087000000001353,,,,
56.0,0.0,1.113999999999578,4.878000000000611,15.801000000001295,34.0619999999999,33.6830000000009,40.29500000000007,52.832000000000335,51.53600000000006,70.14199999999983,52.222999999999956,66.74200000000019,66.13500000000022,79.02400000000125,84.33699999999953,3.595999999999549,,,,
57.0,0.0,0.8220000000001164,3.0799999999999272,16.93500000000131,34.452000000001135,35.64800000000105,40.52600000000166,55.288000000000466,54.32500000000073,70.1869999999999,54.8690000000006,69.25200000000041,68.63600000000042,79.28600000000006,83.73100000000159,1.9330000000009022,,,,
58.0,0.0,0.6449999999986176,1.7249999999985448,17.81999999999971,32.027000000000044,35.96899999999914,40.70499999999993,56.862999999999374,56.41100000000006,72.99099999999999,73.49599999999919,72.70999999999913,71.47599999999875,80.71599999999853,83.33499999999913,1.2819999999992433,,,,
